what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1335895195138
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1335895195138
java.vm.specification.version,sysinfo,,,"1.7",1335895195138
java.vm.vendor,sysinfo,,,"Oracle Corporation",1335895195138
java.vm.version,sysinfo,,,"22.0-b10",1335895195138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335895196717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335895246746
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335895253863
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1335895254306
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1335895254326
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1335895254674
